,Unnamed: 0,Incident_Num,Incident_Type,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender,date,count,race_weights,pop,weight_count
9717,10192,47552,1,North,BOY,B2,2322,19505,White,Male,2019-03-18 01:22:00,1.0,0.68,512.499,0.0019512233194601354
9721,10196,46717,2,West,KING,K2,1636,20671,Black or African American,Female,2019-07-23 17:25:00,1.0,0.07,52.757,0.018954830638588244
9722,10197,46732,2,West,QUEEN,Q2,5064,1603,White,Male,2019-07-24 02:28:00,1.0,0.68,512.499,0.0019512233194601354
9723,10198,46726,2,West,QUEEN,Q2,1550,1603,White,Male,2019-07-24 02:28:00,1.0,0.68,512.499,0.0019512233194601354
9724,10199,46733,2,West,QUEEN,Q2,5060,1603,White,Male,2019-07-24 02:23:00,1.0,0.68,512.499,0.0019512233194601354
9725,10200,47186,1,West,DAVID,D1,2219,20812,White,Female,2019-08-05 12:45:00,1.0,0.68,512.499,0.0019512233194601354
9726,10201,47178,1,West,DAVID,D1,2219,20812,White,Female,2019-08-05 12:45:00,1.0,0.68,512.499,0.0019512233194601354
9727,10202,47178,1,West,DAVID,D1,2310,20812,White,Female,2019-08-05 12:45:00,1.0,0.68,512.499,0.0019512233194601354
9729,10204,47411,1,West,DAVID,D3,2175,20734,White,Male,2019-08-08 17:55:00,1.0,0.68,512.499,0.0019512233194601354
9732,10207,47719,1,South,SAM,S1,5033,20963,Black or African American,Male,2019-08-19 05:49:00,1.0,0.07,52.757,0.018954830638588244
9733,10208,47720,1,South,SAM,S1,5021,20963,Black or African American,Male,2019-08-19 05:50:00,1.0,0.07,52.757,0.018954830638588244
9734,10209,47724,1,South,SAM,S1,5109,20963,Black or African American,Male,2019-08-19 05:49:00,1.0,0.07,52.757,0.018954830638588244
9739,10214,48118,1,East,GEORGE,G3,1778,7069,Black or African American,Male,2019-08-31 20:34:00,1.0,0.07,52.757,0.018954830638588244
9740,10215,48119,1,East,GEORGE,G3,4868,7069,Black or African American,Male,2019-08-31 20:02:00,1.0,0.07,52.757,0.018954830638588244
9749,10224,48187,1,North,JOHN,J2,2223,13855,White,Male,2019-09-03 17:48:00,1.0,0.68,512.499,0.0019512233194601354
9750,10225,48382,1,East,EDWARD,E3,2224,21154,White,Female,2019-09-09 01:05:00,1.0,0.68,512.499,0.0019512233194601354
9751,10226,48383,1,East,EDWARD,E3,1804,21154,White,Female,2019-09-09 01:03:00,1.0,0.68,512.499,0.0019512233194601354
9752,10230,48310,1,East,EDWARD,E1,1267,21135,White,Male,2019-09-06 07:00:00,1.0,0.68,512.499,0.0019512233194601354
9753,10231,47551,1,West,KING,K2,1579,20929,White,Male,2019-08-14 23:03:00,1.0,0.68,512.499,0.0019512233194601354
9754,10232,47554,1,West,KING,K2,1768,20929,White,Male,2019-08-14 23:40:00,1.0,0.68,512.499,0.0019512233194601354
9758,10236,47128,2,North,LINCOLN,L2,2223,20793,White,Male,2019-08-03 16:53:00,1.0,0.68,512.499,0.0019512233194601354
9759,10237,47129,1,North,LINCOLN,L2,1665,20793,White,Male,2019-08-03 16:53:00,1.0,0.68,512.499,0.0019512233194601354
9760,10238,47713,1,West,MARY,M1,4761,4994,White,Male,2019-08-19 19:47:00,1.0,0.68,512.499,0.0019512233194601354
9761,10239,47664,1,West,QUEEN,Q3,1875,20958,White,Female,2019-08-18 16:03:00,1.0,0.68,512.499,0.0019512233194601354
9762,10240,47659,1,West,DAVID,D3,1881,20957,White,Female,2019-08-17 23:45:00,1.0,0.68,512.499,0.0019512233194601354
9763,10241,47660,1,West,DAVID,D3,408,20957,White,Female,2019-08-17 23:45:00,1.0,0.68,512.499,0.0019512233194601354
9766,10244,47643,1,West,DAVID,D3,2191,20949,White,Not Specified,2019-08-17 22:42:00,1.0,0.68,512.499,0.0019512233194601354
9767,10245,47579,1,West,KING,K2,2104,20932,Black or African American,Male,2019-08-15 13:23:00,1.0,0.07,52.757,0.018954830638588244
9768,10246,47580,1,West,KING,K2,1697,20932,Black or African American,Male,2019-08-15 08:26:00,1.0,0.07,52.757,0.018954830638588244
9770,10248,44394,2,West,QUEEN,Q1,5064,20079,White,Male,2019-05-18 20:00:00,1.0,0.68,512.499,0.0019512233194601354
9771,10249,44392,2,West,QUEEN,Q1,1550,20079,White,Male,2019-05-18 19:51:00,1.0,0.68,512.499,0.0019512233194601354
9772,10250,48103,2,West,QUEEN,Q1,2109,20079,White,Male,2019-05-18 19:51:00,1.0,0.68,512.499,0.0019512233194601354
9773,10251,48261,1,North,JOHN,J3,5256,21121,White,Male,2019-09-05 12:04:00,1.0,0.68,512.499,0.0019512233194601354
9774,10252,48229,1,North,BOY,B2,1588,21110,White,Male,2019-09-04 13:35:00,1.0,0.68,512.499,0.0019512233194601354
9776,10254,47894,1,South,SAM,S1,2342,21018,White,Female,2019-08-25 23:00:00,1.0,0.68,512.499,0.0019512233194601354
9777,10255,47800,1,West,DAVID,D1,2185,20992,White,Male,2019-08-21 22:40:00,1.0,0.68,512.499,0.0019512233194601354
9778,10256,47805,1,West,DAVID,D1,1473,20992,White,Male,2019-08-21 22:40:00,1.0,0.68,512.499,0.0019512233194601354
